dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,4236,4,5157350,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,4236,4,5121330,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8049210036,14279050710,4236,4,1742918,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9638270844,11100929094,4237,3,635348,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8410360220,11714884406,4236,4,1390248,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8663165349,11209274148,4236,5,1057661,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9891075973,10595318836,4237,3,310521,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9638270844,11100929094,4237,4,624439,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6712954356,12563587338,4237,3,2268124,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814462417,10360571216,4236,4,1041895,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9259063154,10017478541,4237,4,330662,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8049210039,12437184771,4237,4,1770940,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6857414431,13033082575,4237,4,2215684,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7832519927,11082871583,4236,4,1334398,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9024315535,11949632023,4236,6,1236066,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8410360222,13177542649,4237,3,1588880,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4509938234,15127753643,4236,4,3159615,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7074104539,9999421033,4237,4,1194487,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8283957658,10505031289,4236,3,913254,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7561657291,11949632023,4236,4,1816815,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5864251425,12798334956,4236,4,2599015,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7561657289,9403523228,4236,3,753160,window
Initial serve memory: 16922.9 MB
Post serve memory: 17276.9 MB
Post data serve memory:  MB
